a;b;c;d;e;publishdate;title;slug;bangumi;fpost;av;link
498;3月26日;よくぞここまで続いた！ゴッドタン ギリギリ事件簿！;東京03、深澤ゆうき、みひろ;2017年;2017-03-26;NA;NA;NA;NA;NA;NA
499;4月2日;マジ歌ライブ2017～マジ武道館～;バナナマン、バカリズム、後藤輝基（フットボールアワー）、秋山竜次（ロバート）、岩井勇気（ハライチ）、スピードワゴン、ダイノジ阿佐ヶ谷姉妹、みさわ大福、柳沢慎吾、藤田真由美、ニック&ぶらっくさむらい、春田和幸、ラブレターズ、手島優、倉田夏希、小池美由、あいな、Pちゃん、GO!皆川関水たまこ、石橋ゆう子、みひろ、岩谷健司、加藤育実、乙幡杏菜（mi-na）、朝倉ゆり（エラバレシ）、natsuki（Nice Arrange）;2017年;2017-04-02;NA;NA;NA;NA;NA;NA
500;4月9日;マジ歌ライブ2017～マジ武道館～;バナナマン、バカリズム、後藤輝基（フットボールアワー）、秋山竜次（ロバート）、岩井勇気（ハライチ）、スピードワゴン、ダイノジ阿佐ヶ谷姉妹、みさわ大福、柳沢慎吾、藤田真由美、ニック&ぶらっくさむらい、春田和幸、ラブレターズ、手島優、倉田夏希、小池美由、あいな、Pちゃん、GO!皆川関水たまこ、石橋ゆう子、みひろ、岩谷健司、加藤育実、乙幡杏菜（mi-na）、朝倉ゆり（エラバレシ）、natsuki（Nice Arrange）;2017年;2017-04-09;NA;NA;NA;NA;NA;NA
501;4月16日;第2回芝居ヤバイ芸人No.1決定戦;ネゴシックス、岡井千聖、ノブ（千鳥）、平嶋夏海、月城まゆ、入矢麻衣;2017年;2017-04-16;NA;NA;NA;NA;NA;NA
502;4月23日;ザ・大声クイズ15;銀シャリ、倉持由香;2017年;2017-04-23;NA;NA;NA;NA;NA;NA
503;4月30日;松丸代打オーディション;池田裕子、染谷有香、紺野ぶるま;2017年;2017-04-30;神舌「松丸代打甄选会」170429 GOD TONGUE;2017-06-13-170429-11288831;神舌;/home/tc/GIT/owaraisite/content/post//2017-06-13-170429-11288831.md;11288831;<a href='/post/2017-06-13-170429-11288831'>LINK</a>
504;5月7日;第7回コンビ愛確かめ選手権;ロバート、アルコ&ピース、メイプル超合金;2017年;2017-05-07;NA;NA;NA;NA;NA;NA
505;5月14日;第7回コンビ愛確かめ選手権;ロバート、アルコ&ピース、メイプル超合金;2017年;2017-05-14;NA;NA;NA;NA;NA;NA
506;5月21日;仲直りフレンドパーク9;ハライチ、ラブレターズ;2017年;2017-05-21;NA;NA;NA;NA;NA;NA
507;5月28日;ロバート秋山のノリ女塾;秋山竜次（ロバート）、都丸紗也華、本郷杏奈;2017年;2017-05-28;NA;NA;NA;NA;NA;NA
508;6月4日;西野の夢 かなえたろかスペシャル;西野亮廣（キングコング）、鈴木拓（ドランクドラゴン）、水口亘、池田裕子;2017年;2017-06-04;神舌 170603 紧急企划！帮西野实现梦想;2017-06-05-170603-11077798;神舌;/home/tc/GIT/owaraisite/content/post//2017-06-05-170603-11077798.md;11077798;<a href='/post/2017-06-05-170603-11077798'>LINK</a>
509;6月11日;帰ってきた芸人ラジオサミット 〜次世代ラジオ芸人SP〜;アルコ&ピース、三四郎、ニューヨーク、川野将一;2017年;2017-06-11;NA;NA;NA;NA;NA;NA
510;6月18日;ケンカ＆ダンスグランプリ;田中卓志（アンガールズ）、野沢春日、松岡里英、川上愛、白川未奈、エヴァンス未希;2017年;2017-06-18;NA;NA;NA;NA;NA;NA
511;6月25日;歌ネタ芸人が大集結！ちょいエロ歌謡祭;8.6秒バズーカー、ムーディ勝山、2700、AMEMIYA;2017年;2017-06-25;NA;NA;NA;NA;NA;NA
512;7月2日;2017年上半期未公開映像一挙蔵出しSP;NA;2017年;2017-07-02;NA;NA;NA;NA;NA;NA
513;7月9日;マジギライ1/5;千鳥、あいな、寺口智香、ららぴ、るるぴ、あさいあみ;2017年;2017-07-09;NA;NA;NA;NA;NA;NA
514;7月16日;この若手知ってんのか!?2017;アルコ＆ピース、児島気奈、ゆにばーす、ランジャタイ、いかちゃん 、曇天三男坊;2017年;2017-07-16;NA;NA;NA;NA;NA;NA
515;7月23日;アイドル飲み姿カワイイGP6;藤木由貴、橋本梨菜、和地つかさ;2017年;2017-07-23;NA;NA;NA;NA;NA;NA
516;7月30日;第5回 私の落とし方発表会;横澤夏子、阿佐ヶ谷姉妹;2017年;2017-07-30;NA;NA;NA;NA;NA;NA
517;8月6日;第2回ネタギリッシュNIGHT;相席スタート、タイムマシーン3号、ザ・ギース、チョコレートプラネット星乃まおり、黒口那津、葉月あや;2017年;2017-08-06;NA;NA;NA;NA;NA;NA
518;8月13日;キモンスターズ・チャンプ7;バイきんぐ、野性爆弾、マテンロウ;2017年;2017-08-13;NA;NA;NA;NA;NA;NA
519;8月20日;未公開＆ゴールデン見所SP;馬鹿よ貴方は、佐山彩香、いかちゃん;2017年;2017-08-20;NA;NA;NA;NA;NA;NA
520;8月26日;芸人マジ歌選手権SP マジラブソング歌謡祭;東京03、AMEMIYA、スピードワゴン、秋山竜次（ロバート）、ベッキー、ハライチ、向井慧（パンサー）、阿佐ヶ谷姉妹、岡井千聖、バカリズム、平田敦子、野口かおる川島明（麒麟）、千鳥、中村静香、朝日奈央、都丸紗也華、本郷杏奈、岸明日香、手島優、波田陽区;2017年;2017-08-26;NA;NA;NA;NA;NA;NA
520;8月26日;マジギライ芸人No.1決定戦;千鳥、西野亮廣（キングコング）、小峠英二（バイきんぐ）、品川祐（品川庄司）、ハライチ、又吉直樹（ピース）、藤本敏史（FUJIWARA）岡田結実、ロバート、小宮浩信（三四郎）、徳井健太（平成ノブシコブシ）、鈴木拓（ドランクドラゴン）、あいな、谷まりあ、筧美和子;2017年;2017-08-26;NA;NA;NA;NA;NA;NA
520;8月26日;私の落とし方発表会 売れっ子女芸人SP;尼神インター、ゆりやんレトリィバァ、阿佐ヶ谷姉妹、松野明美、陣内智則、三四郎、福士誠治、大東駿介、前川泰之、岡田浩暉;2017年;2017-08-26;NA;NA;NA;NA;NA;NA
521;8月27日;ゲーセワニュース2017;吉田豪、久田将義、溜口佑太朗（ラブレターズ）、森田哲矢（さらば青春の光）;2017年;2017-08-27;NA;NA;NA;NA;NA;NA
522;9月3日;ゴールデン未公開SP;NA;2017年;2017-09-03;NA;NA;NA;NA;NA;NA
523;9月10日;謎の若手川瀬で30分!;ゆにばーす、ウエストランド、曇天三男坊;2017年;2017-09-10;神舌 170909「小宫二世？川濑名人的30分钟」;2017-09-14-170909-14461698;神舌;/home/tc/GIT/owaraisite/content/post//2017-09-14-170909-14461698.md;14461698;<a href='/post/2017-09-14-170909-14461698'>LINK</a>
524;9月17日;腐ってる芸人が大集合! かぶりタレントキャラ統一マッチ;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）;2017年;2017-09-17;神舌 170916 雷同艺人统一争霸战 堕落艺人篇;2017-09-26-170916-14805403;神舌;/home/tc/GIT/owaraisite/content/post//2017-09-26-170916-14805403.md;14805403;<a href='/post/2017-09-26-170916-14805403'>LINK</a>
525;9月24日;黒沢と小池に友達になってほしい;黒沢かずこ（森三中）、小池美由、入澤優、エヴァンス未希、いかちゃん;2017年;2017-09-24;NA;NA;NA;NA;NA;NA
526;10月1日;第3回エロカッコつけ芸人は誰だ!? セクシードッキリ検証;斉藤慎二（ジャングルポケット）、ラブレターズ、小島みなみ;2017年;2017-10-01;NA;NA;NA;NA;NA;NA
527;10月8日;激ヤバ未公開映像解禁SP;NA;2017年;2017-10-08;NA;NA;NA;NA;NA;NA
528;10月15日;第3回 芝居ヤバい芸人No.1決定戦;本郷杏奈、ネゴシックス、尾形貴弘（パンサー）、野波麻帆;2017年;2017-10-15;NA;NA;NA;NA;NA;NA
529;10月22日;ナイツ土屋改造計画!;土屋伸之（ナイツ）、千鳥;2017年;2017-10-22;NA;NA;NA;NA;NA;NA
530;10月29日;上品芸人ハメ外しクラブ2017;川島明（麒麟）、澤部佑（ハライチ）;2017年;2017-10-29;NA;NA;NA;NA;NA;NA
531;11月5日;第8回コンビ愛確かめ選手権;NON STYLE、三四郎、さらば青春の光;2017年;2017-11-05;神舌 171104「第8回组合爱确认选手权 前半战」;2017-11-08-171104-16124511;神舌;/home/tc/GIT/owaraisite/content/post//2017-11-08-171104-16124511.md;16124511;<a href='/post/2017-11-08-171104-16124511'>LINK</a>
532;11月12日;第8回コンビ愛確かめ選手権;NON STYLE、三四郎、さらば青春の光;2017年;2017-11-12;神舌 171111「第8回组合爱确认选手权 后半战」;2017-11-13-171111-16283878;神舌;/home/tc/GIT/owaraisite/content/post//2017-11-13-171111-16283878.md;16283878;<a href='/post/2017-11-13-171111-16283878'>LINK</a>
533;11月19日;第6回ジジイ芸人キレ悪検証テスト;児嶋一哉（アンジャッシュ）、藤本敏史（FUJIWARA）、西村ヒロチョ、いかちゃん、ジョイマン、虹のコンキスタドールファミリー;2017年;2017-11-19;NA;NA;NA;NA;NA;NA
534;11月26日;第2回ケンカ＆ダンスグランプリ;田中卓志（アンガールズ）、野沢春日、璃乃、はるぽよ、エヴァンス未希、白川未奈;2017年;2017-11-26;NA;NA;NA;NA;NA;NA
535;12月2日;矢作のアイドル大作戦！エビ中ひなたの公式おじいちゃんになりたい;私立恵比寿中学、岩井勇気（ハライチ）;2017年;2017-12-02;NA;NA;NA;NA;NA;NA
536;12月9日;マジギライ1/5;コロコロチキチキペッパーズ、Pちゃん、結子、水咲優美、mone、香川沙耶;2017年;2017-12-09;神舌 171209 真的讨厌1/5 纳达尔篇;2018-09-11-171209-31513187;神舌;/home/tc/GIT/owaraisite/content/post//2018-09-11-171209-31513187.md;31513187;<a href='/post/2018-09-11-171209-31513187'>LINK</a>
537;12月16日;第10回オオギリッシュNIGHT;川島明（麒麟）、バカリズム、ケンドーコバヤシ、くっきー（野性爆弾）、神部美咲、松岡音々、朝香りほ;2017年;2017-12-16;NA;NA;NA;NA;NA;NA
538;12月23日;打倒松丸 野呂朝日プロデュース;くっきー（野性爆弾）;2017年;2017-12-23;NA;NA;NA;NA;NA;NA
539;1月1日;第15回芸人マジ歌選手権SP;バナナマン、東京03、ハライチ、バカリズム、春日俊彰（オードリー）、カミナリAMEMIYA、青山はな、きみと歩実、紺野ひかる、平岡里枝子、松本菜奈実ヒャダイン、ビビる大木、内田理央;2018年;2018-01-01;NA;NA;NA;NA;NA;NA
540;1月7日;2017年下半期総決算スペシャル;私立恵比寿中学、澤部佑（ハライチ）、葉月美音;2018年;2018-01-07;NA;NA;NA;NA;NA;NA
541;1月14日;西野VS劇団ひとり 完全決着SP;西野亮廣（キングコング）;2018年;2018-01-14;神舌 180113「西野VS剧团一人 完全決着SP」;2018-01-18-180113-18444139;神舌;/home/tc/GIT/owaraisite/content/post//2018-01-18-180113-18444139.md;18444139;<a href='/post/2018-01-18-180113-18444139'>LINK</a>
542;1月21日;炎上上等!このツイッターが心配;アルコ&ピース、呂布カルマ、長嶺あずさ（川崎純情小町☆）、鏡星、吉田豪;2018年;2018-01-21;NA;NA;NA;NA;NA;NA
543;1月28日;第9回イチャまんグランプリ;ミキ、さらば青春の光、戸田真琴、初川みなみ;2018年;2018-01-28;NA;NA;NA;NA;NA;NA
544;2月4日;腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）井口浩之（ウエストランド）、加納愛子（Aマッソ）、鬼越トマホーク、青山めぐ;2018年;2018-02-04;神舌「堕落艺人诊所 前篇」180203;2018-02-17-180203-19667979;神舌;/home/tc/GIT/owaraisite/content/post//2018-02-17-180203-19667979.md;19667979;<a href='/post/2018-02-17-180203-19667979'>LINK</a>
545;2月11日;腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）井口浩之（ウエストランド）、加納愛子（Aマッソ）、鬼越トマホーク、青山めぐ;2018年;2018-02-11;神舌「堕落艺人诊所 后篇 & 西野vs剧团未公开」180210;2018-02-20-180210-19683726;神舌;/home/tc/GIT/owaraisite/content/post//2018-02-20-180210-19683726.md;19683726;<a href='/post/2018-02-20-180210-19683726'>LINK</a>
546;2月17日;第3回ネタギリッシュNIGHT;ライス、しずる、ジョイマン、アルコ＆ピース、神部美咲、葉月あや、三田寺理紗;2018年;2018-02-17;NA;NA;NA;NA;NA;NA
547;2月24日;腐りグラドルグランプリ;戸田れい、鈴木咲、清水あいり、金子智美、白川未奈;2018年;2018-02-24;NA;NA;NA;NA;NA;NA
548;3月3日;芸能界ストイック暗記王18;三四郎、秋山竜次（ロバート）、山本博（ロバート）、東京03、山内健司（かまいたち）小田あさ美、桜井未来、加納葉月、青山めぐ、にゃんこスター;2018年;2018-03-03;NA;NA;NA;NA;NA;NA
549;3月10日;芸能界ストイック暗記王18;三四郎、秋山竜次（ロバート）、山本博（ロバート）、東京03、山内健司（かまいたち）小田あさ美、桜井未来、加納葉月、青山めぐ、にゃんこスター;2018年;2018-03-10;NA;NA;NA;NA;NA;NA
550;3月17日;川島スリー;くっきー（野性爆弾）、川島明（麒麟）;2018年;2018-03-17;NA;NA;NA;NA;NA;NA
551;3月24日;ニュースター誕生&衝撃映像SP;NA;2018年;2018-03-24;NA;NA;NA;NA;NA;NA
552;3月31日;キス我慢選手権2018;小宮浩信（三四郎）、吉高寧々;2018年;2018-03-31;NA;NA;NA;NA;NA;NA
553;4月7日;キス我慢選手権2018;ナダル （コロコロチキチキペッパーズ）、初川みなみ;2018年;2018-04-07;NA;NA;NA;NA;NA;NA
554;4月14日;第9回コンビ愛確かめ選手権;カミナリ、平成ノブシコブシ、和牛;2018年;2018-04-14;NA;NA;NA;NA;NA;NA
555;4月21日;第9回コンビ愛確かめ選手権;カミナリ、平成ノブシコブシ、和牛;2018年;2018-04-21;NA;NA;NA;NA;NA;NA
556;4月28日;横アリにわしも出させてぇな! ジェッタシーアレンジ発表会やで～!;後藤輝基（フットボールアワー）;2018年;2018-04-28;NA;NA;NA;NA;NA;NA
557;5月5日;野呂VS朝日 仲直りフレンドパーク;NA;2018年;2018-05-05;NA;NA;NA;NA;NA;NA
558;5月12日;特別企画かずこデトックス;黒沢かずこ（森三中）、小池美由;2018年;2018-05-12;NA;NA;NA;NA;NA;NA
559;5月19日;第2回腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）岡野陽一、ニューヨーク、鬼越トマホーク;2018年;2018-05-19;NA;NA;NA;NA;NA;NA
560;5月26日;ひなたよ矢作が欲しければ小木を超えてみろ!;私立恵比寿中学、岩井勇気（ハライチ）;2018年;2018-05-26;NA;NA;NA;NA;NA;NA
561;6月3日;第4回芝居ヤバい芸人No.1決定戦;ネゴシックス、本郷杏奈、ロッシー（野性爆弾）;2018年;2018-06-03;NA;NA;NA;NA;NA;NA
562;6月10日;このアイドル知ってんのか!? 2018;アルコ&ピース、吉田豪、南波一海兎遊、せるふちゃいなしすてむ、眉村ちあき、伊藤麻希;2018年;2018-06-10;NA;NA;NA;NA;NA;NA
563;6月17日;本郷杏奈、お前は何が出来るんだ!;本郷杏奈、ミラクルひかる、谷桃子;2018年;2018-06-17;NA;NA;NA;NA;NA;NA
564;6月24日;マジ歌ライブ2018in横浜アリーナ;バナナマン、東京03、ハライチ、ラブレターズ、千葉雄大、秋山竜次（ロバート）、DA PUMP、バカリズム、手島優、阿由葉あみ、小倉由菜、きみと歩実、松本菜奈実、ベッキー、ダイノジ、カミナリ、小池美由、後藤輝基（フットボールアワー）、ひょっこりはん、GO!皆川、私立恵比寿中学、AMEMIYA;2018年;2018-06-24;NA;NA;NA;NA;NA;NA
565;7月1日;マジ歌ライブ2018in横浜アリーナ;バナナマン、東京03、ハライチ、ラブレターズ、千葉雄大、秋山竜次（ロバート）、DA PUMP、バカリズム、手島優、阿由葉あみ、小倉由菜、きみと歩実、松本菜奈実、ベッキー、ダイノジ、カミナリ、小池美由、後藤輝基（フットボールアワー）、ひょっこりはん、GO!皆川、私立恵比寿中学、AMEMIYA;2018年;2018-07-01;NA;NA;NA;NA;NA;NA
566;7月8日;この若手知ってんのか!? 2018;アルコ&ピース、小島気奈宮下草薙、きしたかの、あがすけ、EXIT、ニッキューナナ、ハナイチゴ、ソノヘンノ女、ナイチンゲールダンス、四千頭身;2018年;2018-07-08;NA;NA;NA;NA;NA;NA
567;7月15日;この若手知ってんのか!? 2018;アルコ&ピース、小島気奈宮下草薙、きしたかの、あがすけ、EXIT、ニッキューナナ、ハナイチゴ、ソノヘンノ女、ナイチンゲールダンス、四千頭身;2018年;2018-07-15;NA;NA;NA;NA;NA;NA
568;7月22日;誕生！川島スリー;くっきー（野性爆弾）、川島明（麒麟）;2018年;2018-07-22;NA;NA;NA;NA;NA;NA
569;7月29日;ゲラ女王決定戦;三四郎、神宮寺しし丸西原愛夏、久松かおり、真奈、阿久津真央、神部美咲、彩希エリナ、遠山茜子、桃咲あや;2018年;2018-07-29;NA;NA;NA;NA;NA;NA
570;8月5日;第11回オオギリッシュNIGHT;バカリズム、秋山竜次（ロバート）、川島明（麒麟）、大悟（千鳥）神部美咲、メイリ、高橋かな;2018年;2018-08-05;NA;NA;NA;NA;NA;NA
571;8月12日;私の落とし方発表会;川村エミコ（たんぽぽ）、有村藍里、阿佐ヶ谷姉妹、田中卓志（アンガールズ）;2018年;2018-08-12;180812 神舌 让我堕入爱河的方法;2019-03-23-180812-47103880;神舌;/home/tc/GIT/owaraisite/content/post//2019-03-23-180812-47103880.md;47103880;<a href='/post/2019-03-23-180812-47103880'>LINK</a>
572;8月19日;キャラ崩壊寸前！？暴走シーンSP;-;2018年;2018-08-19;NA;NA;NA;NA;NA;NA
573;8月26日;ウソつけない女オーディション;石原由希（IDO★HOLIC）、永井すみれ、MAICA、鎌沢朋佳;2018年;2018-08-26;180826 神舌 一问一答挑战;2019-04-12-180826-49088921;神舌;/home/tc/GIT/owaraisite/content/post//2019-04-12-180826-49088921.md;49088921;<a href='/post/2019-04-12-180826-49088921'>LINK</a>
574;9月2日;第3回腐り芸人セラピー;岩井勇気（ハライチ）、板倉俊之（インパルス）、徳井健太（平成ノブシコブシ）、ダイアン、村上健志（フルーツポンチ）;2018年;2018-09-02;神舌「堕落艺人诊所 第3弹」180901;2018-09-02-180901-30967500;神舌;/home/tc/GIT/owaraisite/content/post//2018-09-02-180901-30967500.md;30967500;<a href='/post/2018-09-02-180901-30967500'>LINK</a>
575;9月9日;第4回ネタギリッシュNIGHT;じゅんいちダビッドソン、紺野ぶるま、マツモトクラブ、とにかく明るい安村、ヒロシ、神部美咲、大貫彩香、真奈;2018年;2018-09-09;神舌「第4届荤段子大会」180908;2018-09-10-180908-31433767;神舌;/home/tc/GIT/owaraisite/content/post//2018-09-10-180908-31433767.md;31433767;<a href='/post/2018-09-10-180908-31433767'>LINK</a>
576;9月16日;芸能界ストイック暗記王19;和牛、板倉俊之（インパルス）、黒沢かずこ（森三中）、小田あさ美、加納葉月、青山めぐ;2018年;2018-09-16;神舌 禁欲暗记王 180915;2018-10-01-180915-32780733;神舌;/home/tc/GIT/owaraisite/content/post//2018-10-01-180915-32780733.md;32780733;<a href='/post/2018-10-01-180915-32780733'>LINK</a>
577;9月23日;芸能界ストイック暗記王19;和牛、板倉俊之（インパルス）、黒沢かずこ（森三中）、小田あさ美、加納葉月、青山めぐ;2018年;2018-09-23;180923 神舌 暗记王后篇;2019-04-03-180923-48183493;神舌;/home/tc/GIT/owaraisite/content/post//2019-04-03-180923-48183493.md;48183493;<a href='/post/2019-04-03-180923-48183493'>LINK</a>
578;9月30日;スナック眉村ちあき;眉村ちあき、EXIT、本郷杏、村上健志（フルーツポンチ）、品川祐（品川庄司）;2018年;2018-09-30;180930 神舌 眉春千秋小酒馆;2019-10-01-180930-69612080;神舌;/home/tc/GIT/owaraisite/content/post//2019-10-01-180930-69612080.md;69612080;<a href='/post/2019-10-01-180930-69612080'>LINK</a>
579;10月7日;遂に復活！松丸アナ伝説(秘)名場面;野呂佳代、朝日奈央;2018年;2018-10-07;NA;NA;NA;NA;NA;NA
580;10月14日;松丸 育児休業明け復活祭;野呂佳代、朝日奈央、西村瑞樹（バイきんぐ）;2018年;2018-10-14;NA;NA;NA;NA;NA;NA
581;10月21日;第10回コンビ愛確かめ選手権;南海キャンディーズ、ダイアン、コロコロチキチキペッパーズ;2018年;2018-10-21;181021 神舌 组合爱确认大赛;2019-06-07-181021-54853361;神舌;/home/tc/GIT/owaraisite/content/post//2019-06-07-181021-54853361.md;54853361;<a href='/post/2019-06-07-181021-54853361'>LINK</a>
582;10月28日;第10回コンビ愛確かめ選手権;南海キャンディーズ、ダイアン、コロコロチキチキペッパーズ;2018年;2018-10-28;181028 神舌;2019-10-02-181028-69612251;神舌;/home/tc/GIT/owaraisite/content/post//2019-10-02-181028-69612251.md;69612251;<a href='/post/2019-10-02-181028-69612251'>LINK</a>
583;11月4日;劇団ひとりVS西野 もう一度嫌いになろう!;西野亮廣（キングコング）;2018年;2018-11-04;NA;NA;NA;NA;NA;NA
584;11月11日;第7回ジジイ芸人キレ悪検証テスト;朝日奈央、カミナリ、EXIT、ソノヘンノ女、伊藤桃々、若林萌々;2018年;2018-11-11;NA;NA;NA;NA;NA;NA
585;11月18日;スベりたくない!SP;NA;2018年;2018-11-18;NA;NA;NA;NA;NA;NA
586;11月25日;スナック眉村ちあき2;眉村ちあき、さらば青春の光、飯塚悟志（東京03）、中村マネージャー、手島優;2018年;2018-11-25;NA;NA;NA;NA;NA;NA
587;12月2日;マジギライ1/5;ジャングルポケット、神崎紗衣、エア、川上愛、鎌沢朋佳;2018年;2018-12-02;NA;NA;NA;NA;NA;NA
588;12月9日;芝居ヤバイ芸人決定戦;ネゴシックス、本郷杏、いかちゃん、遠山茜子、園都、石岡真衣;2018年;2018-12-09;NA;NA;NA;NA;NA;NA
589;12月16日;松丸野呂朝日プロデュース王決定戦;野呂佳代、朝日奈央、バカリズム;2018年;2018-12-16;神舌「松丸野吕朝日改造王决定战」181215;2019-04-18-181215-49652742;神舌;/home/tc/GIT/owaraisite/content/post//2019-04-18-181215-49652742.md;49652742;<a href='/post/2019-04-18-181215-49652742'>LINK</a>
590;12月28日;第16回芸人マジ歌選手権SP;バナナマン、東京03、秋山竜次（ロバート）、ハライチ、後藤輝基（フットボールアワー）、野性爆弾ISSA（DA PUMP）、池田美優、ノブ（千鳥）、吉村崇（平成ノブシコブシ）、アルコ&ピース、野呂佳代、朝日奈央;2018年;2018-12-28;NA;NA;NA;NA;NA;NA
591;1月6日;ウソつけない女アイドルグループ結成;石原由希、永井すみれ、鎌沢朋佳、朝日奈央;2019年;2019-01-06;NA;NA;NA;NA;NA;NA
592;1月13日;フルポン村上の自分探しに付き合ってあげよう;村上健志（フルーツポンチ）;2019年;2019-01-13;NA;NA;NA;NA;NA;NA
593;1月20日;新春エロかるたを作ろう;森田哲矢（さらば青春の光）、紺野ぶるま、石原由希、永井すみれ、鎌沢朋佳、野呂佳代;2019年;2019-01-20;NA;NA;NA;NA;NA;NA
594;1月27日;第10回イチャまんグランプリ;ハナコ、チョコレートプラネット、かまいたち、篠田ゆう、小倉由菜、小島みなみ;2019年;2019-01-27;NA;NA;NA;NA;NA;NA
595;2月2日;トリオ愛確かめ選手権;東京03、パンサー、ジャングルポケット;2019年;2019-02-02;三人组合爱确认选手权-前篇- 190202;2019-02-19-190202-44079408;神舌;/home/tc/GIT/owaraisite/content/post//2019-02-19-190202-44079408.md;44079408;<a href='/post/2019-02-19-190202-44079408'>LINK</a>
596;2月9日;トリオ愛確かめ選手権;東京03、パンサー、ジャングルポケット、花咲れあ、霜月のあ、源藤アイリ;2019年;2019-02-09;三人组合爱确认选手权-后篇- 190209;2019-02-21-190209-44247589;神舌;/home/tc/GIT/owaraisite/content/post//2019-02-21-190209-44247589.md;44247589;<a href='/post/2019-02-21-190209-44247589'>LINK</a>
597;2月16日;このツイッターが心配だ 2019;アルコ&ピース、望月める、マシンガンズ、井口浩之（ウエストランド）、香椎かてぃ（ZOC)、吉田豪;2019年;2019-02-16;NA;NA;NA;NA;NA;NA
598;2月23日;第12回オオギリッシュNIGHT;ケンドーコバヤシ、くっきー（野性爆弾）、バカリズム、川島明（麒麟）、神部美咲、源藤アイリ、真奈;2019年;2019-02-23;NA;NA;NA;NA;NA;NA
599;3月3日;結婚引退 谷桃子メモリアルSP;NA;2019年;2019-03-03;NA;NA;NA;NA;NA;NA
600;3月10日;第5回バカヤロウ徒競走;ダイアン、コロコロチキチキペッパーズ、野呂佳代、パンサー;2019年;2019-03-10;神舌「混蛋短跑赛 前篇」190309;190313-190309-46112333;神舌;/home/tc/GIT/owaraisite/content/post//2019-03-13-190309-46112333.md;46112333;<a href='/post/190313-190309-46112333'>LINK</a>
601;3月17日;第5回バカヤロウ徒競走;ダイアン、コロコロチキチキペッパーズ、野呂佳代、パンサー;2019年;2019-03-17;神舌「混蛋短跑赛 后篇」190316;190317-190316-46574971;神舌;/home/tc/GIT/owaraisite/content/post//2019-03-17-190316-46574971.md;46574971;<a href='/post/190317-190316-46574971'>LINK</a>
602;3月24日;第4回腐り芸人セラピー インパルス復活SP;インパルス、岩井勇気（ハライチ）、徳井健太（平成ノブシコブシ）;2019年;2019-03-24;NA;NA;NA;NA;NA;NA
603;3月31日;汗と涙のガチンコ勝負SP;NA;2019年;2019-03-31;NA;NA;NA;NA;NA;NA
604;4月7日;ゴッドタン三者面談;三四郎、EXIT、小池美由、本郷杏、朝日奈央、野呂佳代;2019年;2019-04-07;NA;NA;NA;NA;NA;NA
605;4月14日;第1回芸人マジ芝居選手権;ハナコ、‎斉藤慎二（ジャングルポケット）、鈴木浩介、アンジェリカ、源藤アイリ、森みはる;2019年;2019-04-14;190413 神舌 严肃演技大赛;2019-10-03-190413-69612864;神舌;/home/tc/GIT/owaraisite/content/post//2019-10-03-190413-69612864.md;69612864;<a href='/post/2019-10-03-190413-69612864'>LINK</a>
606;4月21日;スナック眉村ちあき3;眉村ちあき、宮下草薙、ジャングルポケット;2019年;2019-04-21;NA;NA;NA;NA;NA;NA
607;5月5日;スナック眉村ちあき3;眉村ちあき、宮下草薙、ジャングルポケット、東京03;2019年;2019-05-05;190504 神舌 眉村小酒馆;2019-08-16-190504-64023698;神舌;/home/tc/GIT/owaraisite/content/post//2019-08-16-190504-64023698.md;64023698;<a href='/post/2019-08-16-190504-64023698'>LINK</a>
607;5月5日;超身内サテライト;朝日奈央、手島優、中村マネージャー;2019年;2019-05-05;190504 神舌 眉村小酒馆;2019-08-16-190504-64023698;神舌;/home/tc/GIT/owaraisite/content/post//2019-08-16-190504-64023698.md;64023698;<a href='/post/2019-08-16-190504-64023698'>LINK</a>
608;5月12日;芸人ラジオサミット 〜次世代を担うスター候補SP〜;ハライチ、アルコ&ピース、Creepy Nuts、野呂佳代;2019年;2019-05-12;NA;NA;NA;NA;NA;NA
609;5月19日;第5回ネタギリッシュNIGHT;インポッシブル、トム・ブラウン、ルシファー吉岡、プラス・マイナス、花咲れあ、みうらうみ、神部美咲、野呂佳代;2019年;2019-05-19;NA;NA;NA;NA;NA;NA
610;5月26日;お笑いを存分に語れるBAR;飯塚悟志（東京03）、田中卓志（アンガールズ）、岡部大・秋山寛貴（ハナコ）、あいな、神部美咲;2019年;2019-05-26;NA;NA;NA;NA;NA;NA
611;6月9日;Truthの公式お兄ちゃんオーディション 前編;石原由希、永井すみれ、TOMOKA、ダイアン;2019年;2019-06-09;190608 神舌;2019-07-16-190608-59413129;神舌;/home/tc/GIT/owaraisite/content/post//2019-07-16-190608-59413129.md;59413129;<a href='/post/2019-07-16-190608-59413129'>LINK</a>
